Name,joining date,Email Address,Department,Monthly salary
Alen,14/01/22,alen@demomail.com,legal,$4920
priya,01/01/22,priya@demomail.com,retail,$2785
pooja,01/02/22,pooja@demomail.com,retail,$3689
devika,25/02/22,devika@demomail.com,sales,$4297
pranav,01/03/22,pranav@demomail.com,accounting,$5329
aishwarya,01/03/22,aishu@demomail.com,sales,$2785
subinsa,15/03/22,subinsa@demomail.com,support,$3450
ameera,15/03/22,ameera@demomail.com,sales,$2500
basil,30/03/22,basil@demomail.com,human resources,$5784
jasiya,30/03/22,jasiya@demomail.com,retail,$2345
